id,date,value
Biomass Energy Production,2010-01-01,0.763673
Biomass Energy Production,2010-02-01,0.748869
Biomass Energy Production,2010-03-01,0.384094
Biomass Energy Production,2010-04-01,0.36892200000000003
Biomass Energy Production,2010-05-01,0.376012
Biomass Energy Production,2010-06-01,0.372328
Biomass Energy Production,2010-07-01,0.385443
Biomass Energy Production,2010-08-01,0.389064
Biomass Energy Production,2010-09-01,0.377355
Biomass Energy Production,2010-10-01,0.386771
Biomass Energy Production,2010-11-01,0.525048
Biomass Energy Production,2010-12-01,0.6633249999999999
Biomass Energy Production,2011-01-01,0.801602
Biomass Energy Production,2011-02-01,0.779852
Biomass Energy Production,2011-03-01,0.394959
Biomass Energy Production,2011-04-01,0.373481
Biomass Energy Production,2011-05-01,0.385273
Biomass Energy Production,2011-06-01,0.389673
Biomass Energy Production,2011-07-01,0.399454
Biomass Energy Production,2011-08-01,0.402931
Biomass Energy Production,2011-09-01,0.387218
Biomass Energy Production,2011-10-01,0.397994
Biomass Energy Production,2011-11-01,0.521425
Biomass Energy Production,2011-12-01,0.644856
Biomass Energy Production,2012-01-01,0.7682869999999999
Biomass Energy Production,2012-02-01,0.7560450000000001
Biomass Energy Production,2012-03-01,0.388074
Biomass Energy Production,2012-04-01,0.368981
Biomass Energy Production,2012-05-01,0.387318
Biomass Energy Production,2012-06-01,0.377792
Biomass Energy Production,2012-07-01,0.379862
Biomass Energy Production,2012-08-01,0.386269
Biomass Energy Production,2012-09-01,0.366955
Biomass Energy Production,2012-10-01,0.373976
Biomass Energy Production,2012-11-01,0.5182456666666666
Biomass Energy Production,2012-12-01,0.6625153333333333
Biomass Energy Production,2013-01-01,0.8067850000000001
Biomass Energy Production,2013-02-01,0.7896529999999999
Biomass Energy Production,2013-03-01,0.397483
Biomass Energy Production,2013-04-01,0.386118
Biomass Energy Production,2013-05-01,0.404408
Biomass Energy Production,2013-06-01,0.401526
Biomass Energy Production,2013-07-01,0.419082
Biomass Energy Production,2013-08-01,0.413323
Biomass Energy Production,2013-09-01,0.394962
Biomass Energy Production,2013-10-01,0.417108
Biomass Energy Production,2013-11-01,0.557986
Biomass Energy Production,2013-12-01,0.6988639999999999
Biomass Energy Production,2014-01-01,0.839742
Biomass Energy Production,2014-02-01,0.827821
Biomass Energy Production,2014-03-01,0.423059
Biomass Energy Production,2014-04-01,0.408362
Biomass Energy Production,2014-05-01,0.419487
Biomass Energy Production,2014-06-01,0.422198
Biomass Energy Production,2014-07-01,0.436907
Biomass Energy Production,2014-08-01,0.430477
Biomass Energy Production,2014-09-01,0.410555
Biomass Energy Production,2014-10-01,0.424131
Biomass Energy Production,2014-11-01,0.564041
Biomass Energy Production,2014-12-01,0.703951
Biomass Energy Production,2015-01-01,0.843861
Biomass Energy Production,2015-02-01,0.820818
Biomass Energy Production,2015-03-01,0.417387
Biomass Energy Production,2015-04-01,0.403495
Biomass Energy Production,2015-05-01,0.42108
Biomass Energy Production,2015-06-01,0.418538
Biomass Energy Production,2015-07-01,0.434192
Biomass Energy Production,2015-08-01,0.430977
Biomass Energy Production,2015-09-01,0.409013
Biomass Energy Production,2015-10-01,0.417458
Biomass Energy Production,2015-11-01,0.5627489999999999
Biomass Energy Production,2015-12-01,0.70804
Biomass Energy Production,2016-01-01,0.8533310000000001
Biomass Energy Production,2016-02-01,0.872661
Biomass Energy Production,2016-03-01,0.427749
Biomass Energy Production,2016-04-01,0.398935
Biomass Energy Production,2016-05-01,0.422512
Biomass Energy Production,2016-06-01,0.42344
Biomass Energy Production,2016-07-01,0.433159
Biomass Energy Production,2016-08-01,0.440624
Biomass Energy Production,2016-09-01,0.415591
Biomass Energy Production,2016-10-01,0.423506
Biomass Energy Production,2016-11-01,0.5740776666666667
Biomass Energy Production,2016-12-01,0.7246493333333333
Biomass Energy Production,2017-01-01,0.875221
Biomass Energy Production,2017-02-01,0.847731
Biomass Energy Production,2017-03-01,0.436053
Biomass Energy Production,2017-04-01,0.406952
Biomass Energy Production,2017-05-01,0.425521
Biomass Energy Production,2017-06-01,0.422257
Biomass Energy Production,2017-07-01,0.433717
Biomass Energy Production,2017-08-01,0.444627
Biomass Energy Production,2017-09-01,0.415414
Biomass Energy Production,2017-10-01,0.432118
Biomass Energy Production,2017-11-01,0.5832203333333333
Biomass Energy Production,2017-12-01,0.7343226666666667
Biomass Energy Production,2018-01-01,0.885425
Biomass Energy Production,2018-02-01,0.86507
Biomass Energy Production,2018-03-01,0.447148
Biomass Energy Production,2018-04-01,0.423301
Biomass Energy Production,2018-05-01,0.442777
Biomass Energy Production,2018-06-01,0.436273
Biomass Energy Production,2018-07-01,0.453383
Biomass Energy Production,2018-08-01,0.457227
Biomass Energy Production,2018-09-01,0.425203
Biomass Energy Production,2018-10-01,0.446895
Biomass Energy Production,2018-11-01,0.5881713333333334
Biomass Energy Production,2018-12-01,0.7294476666666667
Biomass Energy Production,2019-01-01,0.870724
Coal Production,2010-01-01,3.603653
Coal Production,2010-02-01,3.573163
Coal Production,2010-03-01,1.96911
Coal Production,2010-04-01,1.847733
Coal Production,2010-05-01,1.736406
Coal Production,2010-06-01,1.80233
Coal Production,2010-07-01,1.846825
Coal Production,2010-08-01,1.898224
Coal Production,2010-09-01,1.896539
Coal Production,2010-10-01,1.864243
Coal Production,2010-11-01,2.4969893333333335
Coal Production,2010-12-01,3.129735666666667
Coal Production,2011-01-01,3.7624820000000003
Coal Production,2011-02-01,3.643651
Coal Production,2011-03-01,1.957742
Coal Production,2011-04-01,1.795399
Coal Production,2011-05-01,1.759893
